cell_id,p_hotspot_next
3539.0_442.0,0.28935224
3664.0_232.0,0.28861552
3419.0_392.0,0.28859648
3454.0_437.0,0.28830415
3409.0_402.0,0.28826237
3619.0_172.0,0.28774297
3519.0_457.0,0.28679693
3579.0_387.0,0.28674516
3559.0_312.0,0.28656885
3579.0_432.0,0.28637722
3649.0_177.0,0.28562564
3634.0_177.0,0.2855969
3639.0_157.0,0.28540668
3569.0_457.0,0.28523192
3564.0_452.0,0.28468654
3489.0_452.0,0.28408393
3419.0_402.0,0.2836276
3474.0_452.0,0.28315255
3564.0_367.0,0.2818444
3584.0_252.0,0.2813577
3624.0_252.0,0.2800367
3544.0_362.0,0.27968308
3539.0_392.0,0.27963573
3554.0_432.0,0.27941298
3514.0_442.0,0.27867046
3544.0_442.0,0.27827367
3559.0_177.0,0.27810475
3439.0_402.0,0.27778932
3429.0_422.0,0.27764508
3499.0_442.0,0.27678606
3449.0_432.0,0.27655256
3594.0_222.0,0.2749681
3624.0_172.0,0.27469596
3469.0_447.0,0.27466917
3629.0_187.0,0.27444234
3594.0_142.0,0.27439788
3604.0_227.0,0.27264985
3589.0_257.0,0.27240217
3584.0_277.0,0.27215526
3584.0_232.0,0.27198714
3584.0_457.0,0.27145314
3539.0_407.0,0.27060074
3454.0_457.0,0.27002507
3514.0_432.0,0.26959014
3424.0_417.0,0.26939315
3634.0_167.0,0.2687726
3529.0_427.0,0.26831746
3454.0_447.0,0.26821762
3639.0_162.0,0.26810208
3594.0_232.0,0.26809794
3604.0_247.0,0.26797763
3559.0_337.0,0.26732656
3584.0_257.0,0.26583284
3559.0_447.0,0.2657852
3539.0_242.0,0.2657437
3599.0_312.0,0.26562467
3549.0_182.0,0.26533005
3439.0_377.0,0.2652889
3634.0_222.0,0.2648478
3594.0_242.0,0.26476914
3424.0_427.0,0.2642528
3509.0_442.0,0.26412275
3609.0_227.0,0.26411384
3449.0_347.0,0.2639478
3539.0_347.0,0.2633403
3449.0_457.0,0.26300484
3599.0_237.0,0.26282668
3629.0_252.0,0.2625724
3444.0_427.0,0.26228973
3554.0_407.0,0.26131117
3574.0_242.0,0.2611212
3564.0_337.0,0.26096886
3584.0_352.0,0.26079538
3609.0_132.0,0.26068017
3554.0_207.0,0.2604632
3609.0_297.0,0.26027006
3444.0_397.0,0.2602387
3584.0_222.0,0.26000658
3614.0_252.0,0.25980282
3434.0_377.0,0.25969937
3599.0_222.0,0.2596924
3564.0_237.0,0.25949767
3604.0_147.0,0.2592877
3504.0_457.0,0.25882265
3609.0_257.0,0.2586725
3614.0_212.0,0.2575525
3604.0_257.0,0.25753096
3519.0_442.0,0.2569612
3554.0_442.0,0.2563602
3524.0_392.0,0.2562319
3484.0_262.0,0.25599808
3589.0_252.0,0.2553128
3589.0_207.0,0.25504795
3629.0_272.0,0.25494635
3569.0_427.0,0.25489578
3439.0_382.0,0.2548406
3444.0_337.0,0.2543665
3569.0_437.0,0.25424236
3459.0_302.0,0.25401583
3584.0_292.0,0.25388947
3434.0_397.0,0.2538595
3474.0_427.0,0.25354472
3419.0_397.0,0.25341606
3494.0_322.0,0.25321725
3484.0_452.0,0.2530217
3499.0_447.0,0.25301322
3569.0_357.0,0.2527086
3574.0_177.0,0.25221887
3579.0_377.0,0.25072718
3559.0_377.0,0.25064564
3649.0_187.0,0.25041243
3424.0_397.0,0.2495551
3409.0_422.0,0.24946684
3569.0_352.0,0.24802501
3634.0_262.0,0.24788292
3589.0_227.0,0.24769798
3574.0_362.0,0.24716887
3564.0_437.0,0.24696425
3594.0_227.0,0.24693863
3559.0_382.0,0.24688587
3634.0_252.0,0.24613138
3479.0_342.0,0.24591497
3444.0_412.0,0.24491732
3559.0_407.0,0.2445228
3574.0_437.0,0.2444245
3429.0_397.0,0.24419321
3479.0_447.0,0.24414013
3574.0_222.0,0.24361552
3549.0_412.0,0.24334644
3549.0_187.0,0.24328864
3579.0_392.0,0.24298534
3594.0_457.0,0.24293357
3504.0_317.0,0.24291539
3489.0_457.0,0.24289949
3529.0_412.0,0.24255614
3574.0_292.0,0.24232133
3524.0_432.0,0.24222894
3444.0_392.0,0.2421327
3529.0_292.0,0.2416976
3619.0_242.0,0.2415052
3599.0_192.0,0.24078667
3484.0_312.0,0.24030502
3524.0_422.0,0.24025816
3609.0_187.0,0.23943
3619.0_162.0,0.23941785
3514.0_452.0,0.23828034
3629.0_242.0,0.2369427
3624.0_192.0,0.23687024
3579.0_337.0,0.2367444
3479.0_452.0,0.2360173
3579.0_177.0,0.23565179
3564.0_417.0,0.23551175
3569.0_377.0,0.23449421
3549.0_262.0,0.23427212
3429.0_417.0,0.23410732
3649.0_207.0,0.233332
3599.0_202.0,0.23304962
3609.0_262.0,0.23290302
3609.0_247.0,0.23289134
3434.0_387.0,0.23265855
3589.0_427.0,0.23234464
3479.0_362.0,0.23224974
3504.0_442.0,0.23216312
3434.0_417.0,0.2318229
3444.0_422.0,0.23169693
3449.0_412.0,0.2313604
3459.0_437.0,0.23135175
3539.0_382.0,0.23115593
3554.0_457.0,0.23114218
3469.0_437.0,0.23089905
3639.0_122.0,0.2303374
3609.0_212.0,0.23031193
3579.0_227.0,0.23022366
3544.0_367.0,0.23005733
3499.0_367.0,0.2298756
3629.0_217.0,0.22955118
3559.0_437.0,0.22946578
3424.0_432.0,0.22883551
3519.0_402.0,0.22872624
3604.0_152.0,0.22810304
3644.0_167.0,0.22808856
3559.0_402.0,0.22737639
3449.0_397.0,0.22722735
3429.0_412.0,0.22650169
3559.0_247.0,0.22614577
3579.0_237.0,0.22599098
3589.0_152.0,0.2256471
3489.0_417.0,0.22560559
3439.0_397.0,0.22558977
3579.0_352.0,0.2250274
3554.0_447.0,0.22485654
3589.0_327.0,0.22478063
3624.0_117.0,0.22441922
3589.0_272.0,0.22348657
3604.0_192.0,0.22215575
3569.0_347.0,0.22199102
3584.0_452.0,0.22151037
3604.0_292.0,0.22124779
3574.0_422.0,0.22109142
3624.0_187.0,0.22088507
3449.0_317.0,0.2208243
3559.0_442.0,0.22062205
3584.0_172.0,0.21960498
3519.0_422.0,0.2194503
3614.0_142.0,0.21910046
3434.0_402.0,0.21899419
3554.0_182.0,0.21881612
3439.0_417.0,0.2180226
3444.0_457.0,0.21799101
3574.0_302.0,0.2176156
3579.0_172.0,0.21749662
3419.0_432.0,0.21741094
3594.0_307.0,0.21724927
3604.0_212.0,0.21634132
3414.0_392.0,0.21625505
3574.0_347.0,0.21594462
3559.0_332.0,0.21540561
3644.0_202.0,0.21456221
3634.0_267.0,0.21373868
3634.0_142.0,0.21305068
3584.0_262.0,0.21268375
3549.0_452.0,0.21245252
3624.0_137.0,0.21172139
3554.0_252.0,0.21166457
3579.0_362.0,0.2113253
3619.0_267.0,0.21119507
3554.0_187.0,0.21113653
3629.0_202.0,0.21046463
3574.0_352.0,0.21024632
3604.0_207.0,0.21023487
3624.0_162.0,0.20993021
3549.0_437.0,0.209927
3564.0_182.0,0.2095132
3569.0_192.0,0.20922501
3499.0_317.0,0.20920002
3549.0_367.0,0.20917544
3539.0_402.0,0.20905021
3604.0_307.0,0.20904334
3434.0_407.0,0.20856911
3474.0_447.0,0.20841697
3619.0_177.0,0.20834589
3624.0_177.0,0.20826788
3509.0_367.0,0.2081785
3464.0_442.0,0.20815524
3629.0_227.0,0.2081319
3509.0_457.0,0.20795295
3549.0_347.0,0.20785372
3609.0_157.0,0.2078319
3594.0_247.0,0.20778699
3484.0_417.0,0.2076046
3544.0_247.0,0.20724452
3534.0_412.0,0.20691271
3524.0_457.0,0.20681581
3559.0_387.0,0.20628339
3579.0_222.0,0.20625056
3584.0_167.0,0.20594513
3509.0_427.0,0.20442382
3604.0_162.0,0.20431511
3534.0_432.0,0.2042193
3564.0_442.0,0.20406632
3639.0_192.0,0.20378786
3544.0_377.0,0.20331849
3609.0_142.0,0.203165
3564.0_402.0,0.20304662
3579.0_427.0,0.20248865
3569.0_187.0,0.20244005
3559.0_372.0,0.20222704
3604.0_167.0,0.20207073
3524.0_397.0,0.20200972
3554.0_397.0,0.20180772
3584.0_332.0,0.20166348
3579.0_187.0,0.2007977
3574.0_382.0,0.20068637
3634.0_102.0,0.20063508
3614.0_282.0,0.20001443
3569.0_287.0,0.19982158
3564.0_322.0,0.19945303
