cell_id,p_hotspot_next
3522.0_182.0,0.9809217266319112
3497.0_142.0,0.880974751503032
3512.0_187.0,0.8564573498079687
3482.0_142.0,0.8516956991537808
3487.0_137.0,0.8501532566322689
3527.0_202.0,0.8453472280684848
3512.0_172.0,0.8311618436612789
3492.0_142.0,0.8218255775658482
3517.0_182.0,0.8192475808690792
3517.0_157.0,0.81249262133668
3527.0_177.0,0.8024967004661554
3537.0_132.0,0.8007927468485491
3502.0_162.0,0.7981538548219939
3517.0_177.0,0.7892127822221887
3497.0_157.0,0.7738766756716373
3537.0_137.0,0.77168540295086
3497.0_162.0,0.7544129505765237
3522.0_152.0,0.7522773158901611
3492.0_152.0,0.7505612504418635
3507.0_177.0,0.7466462514737305
3502.0_167.0,0.7463737690100092
3517.0_152.0,0.7459084924416113
3502.0_132.0,0.7387402103972984
3532.0_177.0,0.7353634862528432
3522.0_177.0,0.7275963337811413
3512.0_182.0,0.7185080881856749
3502.0_202.0,0.714120392618523
3517.0_132.0,0.6981243431347943
3557.0_142.0,0.6969791822787719
3517.0_127.0,0.6963681308064074
3502.0_172.0,0.693121665453284
3492.0_137.0,0.6858902239788498
3512.0_142.0,0.6843490624779403
3512.0_137.0,0.6790547981490288
3487.0_147.0,0.6776168923454844
3507.0_137.0,0.6769826036890187
3517.0_172.0,0.6641758002800342
3507.0_207.0,0.6445761113570275
3542.0_162.0,0.6432013479918312
3512.0_162.0,0.6411810877887777
3527.0_182.0,0.634021810243547
3512.0_177.0,0.6326897875022021
3517.0_192.0,0.627245430974146
3527.0_142.0,0.626204074873687
3572.0_167.0,0.625458000126481
3502.0_197.0,0.6248119401393615
3547.0_132.0,0.6241166763105668
3517.0_147.0,0.6199982599118609
3507.0_187.0,0.6174866458608176
3547.0_137.0,0.6152042223926492
3507.0_192.0,0.6089661865934148
3512.0_192.0,0.6071476419843376
3537.0_202.0,0.6063731490996245
3507.0_242.0,0.6039623816100629
3522.0_197.0,0.6036547484841536
3492.0_147.0,0.6015027961796559
3517.0_197.0,0.5995437573507553
3547.0_177.0,0.5993872315182849
3512.0_152.0,0.5965873707779621
3492.0_127.0,0.5957406515170353
